00305,根室南東沖５０ｋｍ,ねむろなんとうおき５０ｋｍ,,,ヘッダ部でのみ使用する簡略化した観測点名
00405,釧路沖５０ｋｍ,くしろおき５０ｋｍ,,,ヘッダ部でのみ使用する簡略化した観測点名
00406,釧路沖６０ｋｍ,くしろおき６０ｋｍ,,,ヘッダ部でのみ使用する簡略化した観測点名
00408,釧路沖８０ｋｍ,くしろおき８０ｋｍ,,,ヘッダ部でのみ使用する簡略化した観測点名
00410,釧路沖１００ｋｍ,くしろおき１００ｋｍ,,,ヘッダ部でのみ使用する簡略化した観測点名
00411,釧路沖１１０ｋｍ,くしろおき１１０ｋｍ,,,ヘッダ部でのみ使用する簡略化した観測点名
00413,釧路沖１３０ｋｍ,くしろおき１３０ｋｍ,,,ヘッダ部でのみ使用する簡略化した観測点名
00415,釧路沖１５０ｋｍ,くしろおき１５０ｋｍ,,,ヘッダ部でのみ使用する簡略化した観測点名
00416,釧路沖１６０ｋｍ,くしろおき１６０ｋｍ,,,ヘッダ部でのみ使用する簡略化した観測点名
00506,十勝沖６０ｋｍ,とかちおき６０ｋｍ,,,ヘッダ部でのみ使用する簡略化した観測点名
00508,十勝沖８０ｋｍ,とかちおき８０ｋｍ,,,ヘッダ部でのみ使用する簡略化した観測点名
00509,十勝沖９０ｋｍ,とかちおき９０ｋｍ,,,ヘッダ部でのみ使用する簡略化した観測点名
00510,十勝沖１００ｋｍ,とかちおき１００ｋｍ,,,ヘッダ部でのみ使用する簡略化した観測点名
00511,十勝沖１１０ｋｍ,とかちおき１１０ｋｍ,,,ヘッダ部でのみ使用する簡略化した観測点名
00512,十勝沖１２０ｋｍ,とかちおき１２０ｋｍ,,,ヘッダ部でのみ使用する簡略化した観測点名
00515,十勝沖１５０ｋｍ,とかちおき１５０ｋｍ,,,ヘッダ部でのみ使用する簡略化した観測点名
00605,浦河沖５０ｋｍ,うらかわおき５０ｋｍ,,,ヘッダ部でのみ使用する簡略化した観測点名
00606,浦河沖６０ｋｍ,うらかわおき６０ｋｍ,,,ヘッダ部でのみ使用する簡略化した観測点名
00607,浦河沖７０ｋｍ,うらかわおき７０ｋｍ,,,ヘッダ部でのみ使用する簡略化した観測点名
