00101,知床硫黄山,しれとこいおうざん,
00102,羅臼岳,らうすだけ,
00103,摩周,ましゅう,
00104,アトサヌプリ,あとさぬぷり,
00105,雌阿寒岳,めあかんだけ,
00106,丸山,まるやま,
00107,大雪山,たいせつざん,
00108,十勝岳,とかちだけ,
00109,樽前山,たるまえさん,
00110,恵庭岳,えにわだけ,
00111,倶多楽,くったら,
00112,有珠山,うすざん,
00113,北海道駒ヶ岳,ほっかいどうこまがたけ,
00114,恵山,えさん,
00115,渡島大島,おしまおおしま,
00116,利尻山,りしりざん,
00117,羊蹄山,ようていさん,
00118,ニセコ,にせこ,
119,天頂山,てんちょうざん,
120,雄阿寒岳,おあかんだけ,
00151,茂世路岳,もよろだけ,
00152,散布山,ちりっぷさん,
00153,指臼岳,さしうすだけ,
00154,小田萌山,おだもいさん,
00155,択捉焼山,えとろふやけやま,
00156,択捉阿登佐岳,えとろふあとさぬぷり,
00157,ベルタルベ山,べるたるべさん,
00158,爺爺岳,ちゃちゃだけ,
00159,羅臼山,らうすさん,
00160,泊山,とまりやま,
00161,ルルイ岳,るるいだけ,
00201,恐山,おそれざん,
00202,岩木山,いわきさん,
00203,八甲田山,はっこうださん,
00204,十和田,とわだ,
00205,秋田焼山,あきたやけやま,
00206,八幡平,はちまんたい,
00207,岩手山,いわてさん,
00208,秋田駒ヶ岳,あきたこまがたけ,
00209,鳥海山,ちょうかいさん,
00210,栗駒山,くりこまやま,
00211,鳴子,なるこ,
00212,蔵王山,ざおうざん,
00213,吾妻山,あずまやま,
00214,安達太良山,あだたらやま,
00215,磐梯山,ばんだいさん,
00216,燧ヶ岳,ひうちがたけ,
00217,肘折,ひじおり,
00218,沼沢,ぬまざわ,
00301,那須岳,なすだけ,
00302,日光白根山,にっこうしらねさん,
00303,赤城山,あかぎさん,
00304,榛名山,はるなさん,
00305,草津白根山,くさつしらねさん,
00306,浅間山,あさまやま,
00307,新潟焼山,にいがたやけやま,
00308,妙高山,みょうこうさん,
00309,弥陀ヶ原,みだがはら,
00310,焼岳,やけだけ,
00311,乗鞍岳,のりくらだけ,
00312,御嶽山,おんたけさん,
00313,白山,はくさん,
00314,富士山,ふじさん,
00315,箱根山,はこねやま,
00316,伊豆東部火山群,いずとうぶかざんぐん,
00317,伊豆大島,いずおおしま,
00318,新島,にいじま,
00319,神津島,こうづしま,
00320,三宅島,みやけじま,
00321,八丈島,はちじょうじま,
00322,青ヶ島,あおがしま,
00323,ベヨネース列岩,べよねーすれつがん,
00324,須美寿島,すみすじま,
00325,伊豆鳥島,いずとりしま,
00326,西之島,にしのしま,
00327,海徳海山,かいとくかいざん,
00328,噴火浅根,ふんかあさね,
00329,硫黄島,いおうとう,
00330,北福徳堆,きたふくとくたい,
00331,福徳岡ノ場,ふくとくおかのば,
00333,高原山,たかはらやま,
00334,横岳,よこだけ,
00335,アカンダナ山,あかんだなやま,
00336,利島,としま,
00337,御蔵島,みくらじま,
00338,孀婦岩,そうふがん,
00339,海形海山,かいかたかいざん,
00340,南日吉海山,みなみひよしかいざん,
00341,日光海山,にっこうかいざん,
00401,三瓶山,さんべさん,
00502,九重山,くじゅうさん,
00503,阿蘇山,あそさん,
00504,雲仙岳,うんぜんだけ,
00505,霧島山,きりしまやま,
00506,桜島,さくらじま,
00507,開聞岳,かいもんだけ,
00508,薩摩硫黄島,さつまいおうじま,
00509,口永良部島,くちのえらぶじま,
00510,中之島,なかのしま,
00511,諏訪之瀬島,すわのせじま,
00512,阿武火山群,あぶかざんぐん,
00513,鶴見岳・伽藍岳,つるみだけ・がらんだけ,
00514,由布岳,ゆふだけ,
00515,福江火山群,ふくえかざんぐん,
00516,米丸・住吉池,よねまる・すみよしいけ,
00517,若尊,わかみこ,
00518,池田・山川,いけだ・やまがわ,
00519,口之島,くちのしま,
00550,霧島山（御鉢）,きりしまやま（おはち）,
00551,霧島山（新燃岳）,きりしまやま（しんもえだけ）,
00552,霧島山（えびの高原（硫黄山）周辺）,きりしまやま（えびのこうげん（いおうやま）しゅうへん）,
00601,硫黄鳥島,いおうとりしま,
00602,西表島北北東海底火山,いりおもてじまほくほくとうかいていかざん,
00900,全国の活火山,ぜんこくのかつかざん,かな漢字等電文の900番を900～902に分離
00901,その他の活火山,そのたのかつかざん,
00902,新たな活火山,あらたなかつかざん,
