09011,北海道道央,ほっかいどうどうおう,
09012,北海道道南,ほっかいどうどうなん,
09013,北海道道北,ほっかいどうどうほく,
09014,北海道道東,ほっかいどうどうとう,
09020,青森,あおもり,
09030,岩手,いわて,
09040,宮城,みやぎ,
09050,秋田,あきた,
09060,山形,やまがた,
09070,福島,ふくしま,
09080,茨城,いばらき,
09090,栃木,とちぎ,
09100,群馬,ぐんま,
09110,埼玉,さいたま,
09120,千葉,ちば,
09131,東京,とうきょう,
09132,伊豆諸島,いずしょとう,
09133,小笠原,おがさわら,
09140,神奈川,かながわ,
09150,新潟,にいがた,
09160,富山,とやま,
09170,石川,いしかわ,
09180,福井,ふくい,
09190,山梨,やまなし,
09200,長野,ながの,
09210,岐阜,ぎふ,
09220,静岡,しずおか,
09230,愛知,あいち,
09240,三重,みえ,
09250,滋賀,しが,
09260,京都,きょうと,
09270,大阪,おおさか,
09280,兵庫,ひょうご,
09290,奈良,なら,
09300,和歌山,わかやま,
09310,鳥取,とっとり,
09320,島根,しまね,
09330,岡山,おかやま,
09340,広島,ひろしま,
09360,徳島,とくしま,
09370,香川,かがわ,
09380,愛媛,えひめ,
09390,高知,こうち,
09350,山口,やまぐち,
09400,福岡,ふくおか,
09410,佐賀,さが,
09420,長崎,ながさき,
09430,熊本,くまもと,
09440,大分,おおいた,
09450,宮崎,みやざき,
09461,鹿児島,かごしま,
09462,奄美(群島),あまみ（ぐんとう）,"気象庁が発信する電文では""奄美""と記載する。"
09471,沖縄本島,おきなわほんとう,
09472,大東島,だいとうじま,
09473,宮古島,みやこじま,
09474,八重山,やえやま,
